Crop;Variedade;Produto + Unidade de venda;Lote;Emb.;Vencimento embalagem;Chemical Treatment Name;Quantidade
Cos lettuce;THURINUS;PR PILL FT TE 3,00-3,50 TPC;102473988;5TPC;2021-12-16 (1): 08/2022,;Maxim 480FS:fludioxonil Group 6M (f);300,00
Oak leaf lettuce;KRISTINE;PR PILL FT TE 3,00-3,50 TPC;102474204;5TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 6M (f);280,00
Endive;ANCONI;PR PILL 3,00-3,50 TPC;102474253;5TPC;2021-12-16 (1): 07/2023,;None;105,00
Melon;RICURA;PR F-CT TPC;102474580;10TPC;2021-11-17 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);340,00
Melon;RICURA;PR F-CT TPC;102474581;5TPC;2021-11-17 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);5,00
Melon;RICURA;PR F-CT TPC;102474590;5TPC;2021-11-17 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);210,00
Melon;RICURA;PR F-CT TPC;102475270;10TPC;2022-02-11 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);490,00
Melon;RICURA;PR F-CT TPC;102475271;5TPC;2022-02-11 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);150,00
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102475517;1TPC;2021-11-17 (1): 08/2022,;Maxim 480FS:fludioxonil Group 6M (f);50,00
Butterhead lettuce;NATALIA;PR PILL FT TE 3,00-3,50 TPC;102476568;5TPC;2021-12-16 (1): 01/2024,;Maxim 480FS:fludioxonil Group 6M (f);1.000,00
Butterhead lettuce;NATALIA;PR PILL FT TE 3,00-3,50 TPC;102476568;5TPC;2021-12-16 (1): 01/2024,;Maxim 480FS:fludioxonil Group 6M (f);265,00
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102478133;5TPC;2021-12-16 (1): 01/2024,;Maxim 480FS:fludioxonil Group 6M (f);820,00
Cauliflower;VITAVERDE;PR F-CT 1,75-2,00 TPC;102478799;1TPC;2021-10-06 (1): 03/2023,;Maxim 480FS:fludioxonil Group 6M / Apron XL: metalaxyl M (Mefenoxam©) (f);252,00
Butterhead lettuce;NADINE;PR PILL FT TE 3,00-3,50 TPC;102479564;5TPC;2021-11-17 (1): 01/2024,;Maxim 480FS:fludioxonil Group 6M (f);495,00
Multi-leaf lettuce;COUSTEAU;PR PILL FT TE 3,00-3,50 TPC;102479791;5TPC;2022-02-11 (1): 04/2023,;Maxim 480FS:fludioxonil Group 6M (f);760,00
Multi-leaf lettuce;EULER;PR PILL FT TE 3,00-3,50 TPC;102480472;1TPC;2021-12-16 (1): 08/2022,;Maxim 480FS:fludioxonil Group 6M (f);16,00
Rootstock solanaceae;EMPERADOR;NS PILL LIGHT PM 3,00-3,50 GSPP TPC;102482715;1TPC;2021-11-17 (1): 12/2021,;None;13,00
Red cabbage;REDMA;NS F-CT TPC;102485522;1TPC;2021-11-17 (1): 07/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);117,00
Tomato;MONTELIGA;NS CT GSPP TPC;102485796;1TPC;2021-11-17 (1): 09/2023,;None;22,00
Multi-leaf lettuce;KLEE;PR PILL FT TE 3,00-3,50 TPC;102487376;1TPC;2021-12-16 (1): 09/2022,;Maxim 480FS:fludioxonil Group 6M (f);187,00
Gem Lettuce;TUDELA;PR PILL FT TE 3,00-3,50 TPC;102489076;5TPC;2022-02-11 (1): 04/2023,;Maxim 480FS:fludioxonil Group 6M (f);1.000,00
Gem Lettuce;TUDELA;PR PILL FT TE 3,00-3,50 TPC;102489076;5TPC;2022-02-11 (1): 04/2023,;Maxim 480FS:fludioxonil Group 6M (f);490,00
Sweet pepper;SVEN;PR F-CT TPC;102492809;500PC;2021-11-17 (1): 09/2023,;Maxim 480FS:fludioxonil Group 1M (f);7,50
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102493003;5TPC;2021-12-16 (1): 04/2023,;Maxim 480FS:fludioxonil Group 6M (f);1.000,00
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102493003;5TPC;2021-12-16 (1): 04/2023,;Maxim 480FS:fludioxonil Group 6M (f);280,00
Sweet pepper;ARAGONEZ;PR F-CT TPC;102493850;1TPC;2022-02-11 (1): 10/2023,;Maxim 480FS:fludioxonil Group 1M (f);376,00
Batavia lettuce;JONCTION;PR PILL FT TE 3,00-3,50 TPC;102494517;5TPC;2022-02-11 (1): 05/2023,;Maxim 480FS:fludioxonil Group 6M (f);30,00
Incised leaf lettuce;BELLAGON;PR PILL FT TE 3,00-3,50 TPC;102494710;5TPC;2022-02-11 (1): 05/2023,;Maxim 480FS:fludioxonil Group 6M (f);830,00
Gherkin;SOUND &O;PR F-CT TPC;102495902;1TPC;2021-11-17 (1): 08/2023,;ProSeed:thiram (f);400,00
Gherkin;SOUND &O;PR F-CT TPC;102495902;1TPC;2021-11-17 (1): 08/2023,;ProSeed:thiram (f);67,00
Multi-leaf lettuce;SARTRE;PR PILL FT TE 3,00-3,50 TPC;102496391;5TPC;2022-02-11 (1): 05/2023,;Maxim 480FS:fludioxonil Group 6M (f);855,00
Beetroot;BETTY;PR F-CT 3,50-4,00 TPC;102496855;50TPC;2021-12-16 (1): 11/2023,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam©) (f);1.700,00
Cos lettuce;PATRONA;PR PILL FT TE 3,00-3,50 TPC;102502540;5TPC;2022-02-11 (1): 06/2023,;Maxim 480FS:fludioxonil Group 6M (f);460,00
Endive;ANCONI;PR PILL 3,00-3,50 TPC;102504334;5TPC;2021-12-16 (1): 11/2022,;None;935,00
Endive;KORBI;PR PILL 2,25-2,75 TPC;102504472;5TPC;2021-12-16 (1): 10/2022,;None;230,00
Melon;SMILE;PR F-CT TPC;102507502;5TPC;2021-12-16 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);430,00
Melon;SMILE;PR F-CT TPC;102507505;5TPC;2021-12-16 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);320,00
Rootstock solanaceae;EMBAJADOR;NS CT PM GSPP TPC;102509929;1TPC;2022-02-11 (1): 10/2022,;None;950,00
Butterhead lettuce;NATALIA;PR PILL FT TE 3,00-3,50 TPC;102511083;1TPC;2022-02-11 (1): 10/2022,;Maxim 480FS:fludioxonil Group 6M (f);156,00
Cauliflower;ARIENZO &O;NS F-CT TPC;102511102;2.5TPC;2021-12-16 (1): 09/2022,;Apron XL: metalaxyl M (Mefenoxam©) (f);125,00
Cauliflower;ARIENZO &O;NS F-CT TPC;102511104;2.5TPC;2021-12-16 (1): 04/2023,;Apron XL: metalaxyl M (Mefenoxam©) (f);105,00
Beetroot;BETTY;PR F-CT 3,50-4,00 TPC;102511210;25TPC;2021-12-16 (1): 11/2023,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam©) (f);1.250,00
Beetroot;BETTY;PR F-CT 3,50-4,00 TPC;102511210;25TPC;2021-12-16 (1): 11/2023,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam©) (f);1.025,00
Multi-leaf lettuce;BARLACH;PR PILL FT TE 3,00-3,50 TPC;102511625;5TPC;2022-02-11 (1): 05/2023,;Maxim 480FS:fludioxonil Group 6M (f);250,00
Multi-leaf lettuce;COUSTEAU;PR PILL FT TE 3,00-3,50 TPC;102511820;1TPC;2022-02-11 (1): 10/2022,;Maxim 480FS:fludioxonil Group 6M (f);65,00
Sweet pepper;SPINEL;PR F-CT TPC;102511860;1TPC;2021-12-16 (1): 11/2023,;Maxim 480FS:fludioxonil Group 1M (f);270,00
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102513865;1TPC;2022-02-11 (1): 10/2022,;Maxim 480FS:fludioxonil Group 6M (f);59,00
Swiss chard;CHARLIE;PR MPC;102514312;25TPC;2021-12-16 (1): 11/2023,;None;1,88
Swiss chard;CHARLIE;PR MPC;102514312;25TPC;2021-12-16 (1): 11/2023,;None;0,28
Carrot;JERADA;PR F-CT 2,00-2,20 MPC;102514766;100TPC;2021-12-16 (1): 11/2023,;Maxim 480FS:fludioxonil Group 2M / Apron XL: metalaxyl M (Mefenoxam©) (f);9,50
Carrot;JERADA;PR F-CT 2,00-2,20 MPC;102514766;100TPC;2021-12-16 (1): 11/2023,;Maxim 480FS:fludioxonil Group 2M / Apron XL: metalaxyl M (Mefenoxam©) (f);9,50
Carrot;JERADA;PR F-CT 2,00-2,20 MPC;102514766;100TPC;2021-12-16 (1): 11/2023,;Maxim 480FS:fludioxonil Group 2M / Apron XL: metalaxyl M (Mefenoxam©) (f);4,70
Broccoli;LARSSON &O;PR F-CT 1,50-1,75 TPC;102515751;2.5TPC;2022-02-11 (1): 11/2023,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);5.532,50
Cauliflower;PAXTON;NS F-CT TPC;102517007;2.5TPC;2022-02-11 (1): 11/2023,;Apron XL: metalaxyl M (Mefenoxam©) (f);530,00
Multi-leaf lettuce;BARLACH;PR PILL FT TE 3,00-3,50 TPC;102517641;5TPC;2022-02-11 (1): 06/2023,;Maxim 480FS:fludioxonil Group 6M (f);720,00
Cauliflower;LAVENDER &O;NS F-CT TPC;102520961;1TPC;2022-02-11 (1): 11/2023,;Apron XL: metalaxyl M (Mefenoxam©) (f);180,00
Leek;MATISSE;PR F-CT PM 1,75-2,00 TPC;102521485;1TPC;2022-02-11 (1): 01/2023,;None;974,00
Tomato;TRONUS;NS CT GSPP TPC;102522051;1TPC;2022-02-11 (1): 12/2023,;None;2.900,00
Tomato;TRONUS;NS CT GSPP TPC;102522051;1TPC;2022-02-11 (1): 12/2023,;None;1.243,00
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102522450;1TPC;2022-02-11 (1): 11/2022,;Maxim 480FS:fludioxonil Group 6M (f);68,00
Rootstock solanaceae;EMBAJADOR;NS CT PM GSPP TPC;102529097;1TPC;2022-02-11 (1): 10/2022,;None;696,00
Rootstock solanaceae;EMBAJADOR;NS CT PM GSPP TPC;102530609;1TPC;2022-02-11 (1): 05/2022,;None;280,00
Sweet pepper;SVEN;PR F-CT TPC;102531829;500PC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);25,50
Multi-leaf lettuce;BARLACH;PR PILL FT TE 3,00-3,50 TPC;102532064;1TPC;2022-02-11 (1): 12/2022,;Maxim 480FS:fludioxonil Group 6M (f);11,00
Melon;FLECHAVERDE;PR F-CT TPC;120000558;5TPC;2021-07-28 (1): 03/2022,;ProSeed:thiram (f);5,00
Melon;RICURA;PR F-CT TPC;120001143;5TPC;2021-06-24 (1): 02/2023 (BAS 0131_2022),;Maxim 480FS:fludioxonil Group 1M (f);130,00
Melon;FLECHAVERDE;PR F-CT TPC;120001635;10TPC;2021-05-13 (1): 05/2022,;Maxim 480FS:fludioxonil Group 1M (f);590,00
Melon;NATAL;PR F-CT TPC;120002438;10TPC;2021-04-23 (1): 02/2023 (BAS 0132_2022),;Maxim 480FS:fludioxonil Group 1M (f);750,00
Melon;NATAL;PR F-CT TPC;120002438;10TPC;2021-04-23 (1): 02/2023 (BAS 0132_2022),;Maxim 480FS:fludioxonil Group 1M (f);400,00
Melon;FLECHAVERDE;PR F-CT TPC;120002655;10TPC;2021-11-17 (1): 06/2022,;Maxim 480FS:fludioxonil Group 1M (f);710,00
Melon;FLECHAVERDE;PR F-CT TPC;120002655;10TPC;2021-11-17 (1): 06/2022,;Maxim 480FS:fludioxonil Group 1M (f);320,00
Melon;TIKAL;PR TPC;120004376;5TPC;2021-05-24 (1): 08/2022 SEM TRATAMENTO,;None;200,00
Melon;MINITHOR;PR TPC;120006014;5TPC;2021-04-27 (1): 08/2022 SEM TRATAMENTO,;None;460,00
Melon;RICURA;PR F-CT TPC;120006529;5TPC;2021-07-28 (1): 09/2022,;Maxim 480FS:fludioxonil Group 1M (f);265,00
Melon;GLADIAL;PR TPC;120009090;5TPC;2021-01-19 (1): 10/2022 SEM TRATAMENTO,;None;700,00
Melon;GLADIAL;PR TPC;120009090;5TPC;2021-01-19 (1): 10/2022 SEM TRATAMENTO,;None;390,00
Melon;GLADIAL;PR F-CT TPC;120012617;5TPC;2021-06-18 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);165,00
Melon;GLADIAL;PR F-CT TPC;120012873;5TPC;2021-04-27 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);840,00
Melon;GLADIAL;PR F-CT TPC;120012873;5TPC;2021-04-27 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120012873;5TPC;2021-04-27 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120012873;5TPC;2021-04-27 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120012873;5TPC;2021-04-27 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120012873;5TPC;2021-04-27 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120012873;5TPC;2021-04-27 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);20,00
Melon;ELDOR;PR TPC;120012972;10TPC;2021-05-28 (1): 02/2023 - DEVOLU€ÇO FAMOSA,;None;460,00
Melon;ELDOR;PR TPC;120012985;10TPC;2021-07-28 (1): 02/2023 - DEVOLU€ÇO FAMOSA,;None;300,00
Melon;GLADIAL;PR F-CT TPC;120012993;5TPC;2021-04-27 (1): 02/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120012993;5TPC;2021-04-27 (1): 02/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120012993;5TPC;2021-04-27 (1): 02/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120012993;5TPC;2021-04-27 (1): 02/2023,;Maxim 480FS:fludioxonil Group 1M (f);495,00
Melon;GOLD;PR TPC;120014275;10TPC;2021-04-26 (1): 02/2023 SEM TRATAMENTO,;None;750,00
Melon;GOLD;PR TPC;120014275;10TPC;2021-04-26 (1): 02/2023 SEM TRATAMENTO,;None;750,00
Melon;GOLD;PR TPC;120014275;10TPC;2021-04-26 (1): 02/2023 SEM TRATAMENTO,;None;50,00
Melon;GOLD;PR TPC;120014279;10TPC;2021-04-12 (1): 02/2023 SEM TRATAMENTO,;None;40,00
Melon;FINURA;PR TPC;120014822;10TPC;2021-03-11 (1): 03/2023 - DEVOLU€ÇO FAMOSA,;None;550,00
Melon;FINURA;PR TPC;120014848;5TPC;2021-03-11 (1): 03/2023 SEM TRATAMENTO,;None;2.370,00
Melon;GLADIAL;PR F-CT TPC;120015220;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);775,00
Melon;GLADIAL;PR F-CT TPC;120015220;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);775,00
Melon;GLADIAL;PR F-CT TPC;120015220;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);775,00
Melon;GLADIAL;PR F-CT TPC;120015220;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);495,00
Melon;GLADIAL;PR F-CT TPC;120015228;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);710,00
Melon;GLADIAL;PR F-CT TPC;120015228;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;GLADIAL;PR F-CT TPC;120015782;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);825,00
Melon;GLADIAL;PR F-CT TPC;120015782;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);160,00
Melon;NATAL;PR TPC;120018211;10TPC;2021-07-05 (1): 05/2023 SEM TRATAMENTO,;None;510,00
Melon;NATAL;PR TPC;120018211;10TPC;2021-07-05 (1): 05/2023 SEM TRATAMENTO,;None;60,00
Melon;CRUCIAL;PR F-CT TPC;120019443;5TPC;2021-09-20 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);600,00
Melon;CRUCIAL;PR F-CT TPC;120019443;5TPC;2021-09-20 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);600,00
Melon;CRUCIAL;PR F-CT TPC;120019443;5TPC;2021-09-20 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);600,00
Melon;CRUCIAL;PR F-CT TPC;120019443;5TPC;2021-09-20 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);360,00
Melon;CRUCIAL;PR F-CT TPC;120019443;5TPC;2021-09-20 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);75,00
Melon;CRUCIAL;PR F-CT TPC;120019445;5TPC;2021-12-16 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);425,00
Melon;CRUCIAL;PR F-CT TPC;120019447;5TPC;2021-12-16 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);220,00
Melon;CRUCIAL;PR F-CT TPC;120019459;5TPC;2021-12-16 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);130,00
Melon;CRUCIAL;PR F-CT TPC;120019461;5TPC;2021-12-16 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);85,00
Melon;SMILE;PR F-CT TPC;120022457;5TPC;2021-10-06 (1): 01/2023,;ProSeed:thiram (f);340,00
Melon;FINURA;PR F-CT TPC;120024290;5TPC;2021-12-16 (1): 09/2023,;Maxim 480FS:fludioxonil Group 1M (f);135,00
Melon;FINURA;PR F-CT TPC;120024304;5TPC;2021-12-16 (1): 09/2023,;Maxim 480FS:fludioxonil Group 1M (f);240,00
Melon;ELDOR;PR F-CT TPC;120024525;5TPC;2021-12-16 (1): 10/2023,;Maxim 480FS:fludioxonil Group 1M (f);600,00
Melon;ELDOR;PR F-CT TPC;120024529;10TPC;2021-11-17 (1): 10/2023,;Maxim 480FS:fludioxonil Group 1M (f);750,00
Melon;ELDOR;PR F-CT TPC;120024529;10TPC;2021-11-17 (1): 10/2023,;Maxim 480FS:fludioxonil Group 1M (f);750,00
Melon;ELDOR;PR F-CT TPC;120024529;10TPC;2021-11-17 (1): 10/2023,;Maxim 480FS:fludioxonil Group 1M (f);750,00
Melon;ELDOR;PR F-CT TPC;120024529;10TPC;2021-11-17 (1): 10/2023,;Maxim 480FS:fludioxonil Group 1M (f);710,00
Melon;SMILE;PR F-CT TPC;120024606;5TPC;2021-12-16 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);90,00
Melon;FINURA;PR F-CT TPC;120025035;10TPC;2022-02-11 (1): 10/2023,;Maxim 480FS:fludioxonil Group 1M (f);730,00
Melon;FINURA;PR F-CT TPC;120025179;10TPC;2022-02-11 (1): 11/2023,;Maxim 480FS:fludioxonil Group 1M (f);400,00
Melon;ELDOR;PR F-CT TPC;120025181;5TPC;2021-12-16 (1): 11/2023,;Maxim 480FS:fludioxonil Group 1M (f);520,00
Melon;ELDOR;PR F-CT TPC;120025197;10TPC;2021-12-16 (1): 11/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;ELDOR;PR F-CT TPC;120025197;10TPC;2021-12-16 (1): 11/2023,;Maxim 480FS:fludioxonil Group 1M (f);700,00
Melon;ELDOR;PR F-CT TPC;120025197;10TPC;2021-12-16 (1): 11/2023,;Maxim 480FS:fludioxonil Group 1M (f);70,00
Melon;NATAL;PR F-CT TPC;120026410;10TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);740,00
Melon;NATAL;PR F-CT TPC;120026410;10TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);440,00
Melon;NATAL;PR F-CT TPC;120026455;10TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);650,00
Melon;NATAL;PR F-CT TPC;120026455;10TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);650,00
Melon;NATAL;PR F-CT TPC;120026455;10TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);650,00
Melon;NATAL;PR F-CT TPC;120026455;10TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);650,00
Melon;NATAL;PR F-CT TPC;120026455;10TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);650,00
Melon;NATAL;PR F-CT TPC;120026455;10TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 1M (f);540,00
